"Model","Time","f","ll","ul"
"AIC Trend - R",19,NA,NA,NA
"AIC Trend - R",20,NA,NA,NA
"AIC Trend - R",21,NA,NA,NA
"AIC Trend - R",22,NA,NA,NA
"AIC Trend - R",23,NA,NA,NA
"AIC Trend - R",24,NA,NA,NA
"AIC Trend - R",25,NA,NA,NA
"AIC Trend - R",26,NA,NA,NA
"AIC Trend - R",27,NA,NA,NA
"AIC Trend - R",28,NA,NA,NA
"AIC Trend - R",29,NA,NA,NA
"AIC Trend - R",30,NA,NA,NA
"AIC Trend - R",31,NA,NA,NA
"AIC Trend - R",32,NA,NA,NA
"AIC Trend - R",33,NA,NA,NA
"AIC Trend - R",34,NA,NA,NA
"AIC Trend - R",35,NA,NA,NA
"AIC Trend - R",36,NA,NA,NA
"AIC Trend - R",37,NA,NA,NA
"AIC Trend - R",38,NA,NA,NA
"AIC Trend - R",39,NA,NA,NA
"AIC Trend - R",40,NA,NA,NA
"AIC Trend - R",41,NA,NA,NA
"AIC Trend - R",42,NA,NA,NA
"AIC Trend - R",43,NA,NA,NA
"AIC Trend - R",44,NA,NA,NA
"AIC Trend - R",45,NA,NA,NA
"AIC Trend - R",46,NA,NA,NA
"AIC Trend - R",47,NA,NA,NA
"AIC Trend - R",48,NA,NA,NA
"AIC Trend - R",49,NA,NA,NA
"AIC Trend - R",50,NA,NA,NA
"AIC Trend - R",51,NA,NA,NA
"AIC Trend - R",52,NA,NA,NA
"AIC Trend - R",53,NA,NA,NA
"AIC Trend - R",54,NA,NA,NA
"AIC Trend - R",55,NA,NA,NA
"AIC Trend - R",56,NA,NA,NA
"AIC Trend - R",57,NA,NA,NA
"AIC Trend - R",58,NA,NA,NA
"AIC Trend - R",59,NA,NA,NA
"AIC Trend - R",60,NA,NA,NA
"AIC Trend - R",61,NA,NA,NA
"AIC Trend - R",62,NA,NA,NA
"AIC Trend - R",63,NA,NA,NA
"AIC Trend - R",64,NA,NA,NA
"AIC Trend - R",65,NA,NA,NA
"AIC Trend - R",66,NA,NA,NA
"AIC Trend - R",67,NA,NA,NA
"AIC Trend - R",68,NA,NA,NA
"AIC Trend - R",69,NA,NA,NA
"AIC Trend - R",70,NA,NA,NA
"AIC Trend - R",71,NA,NA,NA
"AIC Trend - R",72,NA,NA,NA
"AIC Trend - R",73,NA,NA,NA
"AIC Trend - R",74,NA,NA,NA
"AIC Trend - R",75,NA,NA,NA
"AIC Trend - R",76,NA,NA,NA
"AIC Trend - R",77,NA,NA,NA
"AIC Trend - R",78,NA,NA,NA
"AIC Trend - R",79,NA,NA,NA
"AIC Trend - R",80,NA,NA,NA
"AIC Trend - R",81,NA,NA,NA
"AIC Trend - R",82,NA,NA,NA
"AIC Trend - R",83,NA,NA,NA
"AIC Trend - R",84,NA,NA,NA
"AIC Trend - R",85,NA,NA,NA
"AIC Trend - R",86,NA,NA,NA
"AIC Trend - R",87,NA,NA,NA
"AIC Trend - R",88,NA,NA,NA
"AIC Trend - R",89,NA,NA,NA
"AIC Trend - R",90,NA,NA,NA
"AIC Trend - R",91,NA,NA,NA
"AIC Trend - R",92,NA,NA,NA
"AIC Trend - R",93,NA,NA,NA
"AIC Trend - R",94,NA,NA,NA
"AIC Trend - R",95,NA,NA,NA
"AIC Trend - R",96,NA,NA,NA
"AIC Trend - R",97,NA,NA,NA
"AIC Trend - R",98,NA,NA,NA
"AIC Trend - R",99,NA,NA,NA
"AIC Trend - R",100,NA,NA,NA
"AIC Trend - R",101,NA,NA,NA
"AIC Trend - R",102,NA,NA,NA
"AIC Trend - R",103,NA,NA,NA
"AIC Trend - R",104,NA,NA,NA
"AIC Trend - R",105,NA,NA,NA
"AIC Trend - R",106,NA,NA,NA
"AIC Trend - R",107,NA,NA,NA
"AIC Trend - R",108,NA,NA,NA
"AIC Trend - R",109,NA,NA,NA
"AIC Trend - R",110,NA,NA,NA
"AIC Trend - R",111,NA,NA,NA
"AIC Trend - R",112,NA,NA,NA
"AIC Trend - R",113,NA,NA,NA
"AIC Trend - R",114,NA,NA,NA
"AIC Trend - R",115,NA,NA,NA
"AIC Trend - R",116,NA,NA,NA
"AIC Trend - R",117,NA,NA,NA
"AIC Trend - R",118,NA,NA,NA
"AIC Trend - R",119,8.10629155870111,8.08927140603904,8.12331171136317
"AIC Trend - R",120,8.1202210329438,8.09639983047088,8.14404223541672
"AIC Trend - R",121,8.1326351885511,8.11566440342031,8.14960597368189
"AIC Trend - R",122,8.14397103090737,8.1202614822147,8.16768057960005
"AIC Trend - R",123,8.16887898606716,8.1517021323264,8.18605583980793
"AIC Trend - R",124,8.1760706286277,8.15191476698052,8.20022649027487
"AIC Trend - R",125,8.17851775643785,8.16139546595636,8.19564004691934
"AIC Trend - R",126,8.19039133434153,8.16629751208807,8.21448515659498
"AIC Trend - R",127,8.20616462777651,8.18900544657492,8.2233238089781
"AIC Trend - R",128,8.22409672387891,8.20007429813118,8.24811914962665
"AIC Trend - R",129,8.226707675807,8.20941537118977,8.24399998042422
"AIC Trend - R",130,8.24406871522357,8.21975895502727,8.26837847541987
"AIC Trend - R",131,8.23820035157707,8.22055039500372,8.25585030815041
"AIC Trend - R",132,8.25876475238496,8.23390955138959,8.28361995338034
"AIC Trend - R",133,8.23726849451281,8.22039984226354,8.25413714676208
"AIC Trend - R",134,8.24666787995321,8.22294141142543,8.27039434848098
"Realization",1,7.249072901,7.249072901,7.249072901
"Realization",2,7.245084291,7.245084291,7.245084291
"Realization",3,7.257002707,7.257002707,7.257002707
"Realization",4,7.271564712,7.271564712,7.271564712
"Realization",5,7.292745534,7.292745534,7.292745534
"Realization",6,7.303641321,7.303641321,7.303641321
"Realization",7,7.316880348,7.316880348,7.316880348
"Realization",8,7.325609985,7.325609985,7.325609985
"Realization",9,7.323632657,7.323632657,7.323632657
"Realization",10,7.328174679,7.328174679,7.328174679
"Realization",11,7.328896866,7.328896866,7.328896866
"Realization",12,7.33992723,7.33992723,7.33992723
"Realization",13,7.348136979,7.348136979,7.348136979
"Realization",14,7.347557399,7.347557399,7.347557399
"Realization",15,7.353402177,7.353402177,7.353402177
"Realization",16,7.33778291,7.33778291,7.33778291
"Realization",17,7.317278807,7.317278807,7.317278807
"Realization",18,7.322642526,7.322642526,7.322642526
"Realization",19,7.34601021,7.34601021,7.34601021
"Realization",20,7.369411667,7.369411667,7.369411667
"Realization",21,7.381750929,7.381750929,7.381750929
"Realization",22,7.400620577,7.400620577,7.400620577
"Realization",23,7.396028498,7.396028498,7.396028498
"Realization",24,7.404522545,7.404522545,7.404522545
"Realization",25,7.421536531,7.421536531,7.421536531
"Realization",26,7.4186609,7.4186609,7.4186609
"Realization",27,7.419620362,7.419620362,7.419620362
"Realization",28,7.411012333,7.411012333,7.411012333
"Realization",29,7.421357046,7.421357046,7.421357046
"Realization",30,7.43372564,7.43372564,7.43372564
"Realization",31,7.44792609,7.44792609,7.44792609
"Realization",32,7.470167154,7.470167154,7.470167154
"Realization",33,7.483188172,7.483188172,7.483188172
"Realization",34,7.493539941,7.493539941,7.493539941
"Realization",35,7.502793366,7.502793366,7.502793366
"Realization",36,7.501137371,7.501137371,7.501137371
"Realization",37,7.514581753,7.514581753,7.514581753
"Realization",38,7.528331767,7.528331767,7.528331767
"Realization",39,7.545653985,7.545653985,7.545653985
"Realization",40,7.552814549,7.552814549,7.552814549
"Realization",41,7.574917763,7.574917763,7.574917763
"Realization",42,7.583451066,7.583451066,7.583451066
"Realization",43,7.593474944,7.593474944,7.593474944
"Realization",44,7.597747488,7.597747488,7.597747488
"Realization",45,7.619184323,7.619184323,7.619184323
"Realization",46,7.633563242,7.633563242,7.633563242
"Realization",47,7.649359235,7.649359235,7.649359235
"Realization",48,7.672106219,7.672106219,7.672106219
"Realization",49,7.691702484,7.691702484,7.691702484
"Realization",50,7.694301724,7.694301724,7.694301724
"Realization",51,7.704496416,7.704496416,7.704496416
"Realization",52,7.709398056,7.709398056,7.709398056
"Realization",53,7.715034394,7.715034394,7.715034394
"Realization",54,7.72099394,7.72099394,7.72099394
"Realization",55,7.735302225,7.735302225,7.735302225
"Realization",56,7.740925237,7.740925237,7.740925237
"Realization",57,7.752464076,7.752464076,7.752464076
"Realization",58,7.769336361,7.769336361,7.769336361
"Realization",59,7.777080182,7.777080182,7.777080182
"Realization",60,7.776115477,7.776115477,7.776115477
"Realization",61,7.790075491,7.790075491,7.790075491
"Realization",62,7.791440171,7.791440171,7.791440171
"Realization",63,7.796962542,7.796962542,7.796962542
"Realization",64,7.792968055,7.792968055,7.792968055
"Realization",65,7.786800945,7.786800945,7.786800945
"Realization",66,7.785928689,7.785928689,7.785928689
"Realization",67,7.798030524,7.798030524,7.798030524
"Realization",68,7.788957548,7.788957548,7.788957548
"Realization",69,7.815449164,7.815449164,7.815449164
"Realization",70,7.81536847,7.81536847,7.81536847
"Realization",71,7.820479659,7.820479659,7.820479659
"Realization",72,7.820439515,7.820439515,7.820439515
"Realization",73,7.842121658,7.842121658,7.842121658
"Realization",74,7.861380331,7.861380331,7.861380331
"Realization",75,7.871730802,7.871730802,7.871730802
"Realization",76,7.890320524,7.890320524,7.890320524
"Realization",77,7.913521017,7.913521017,7.913521017
"Realization",78,7.916078096,7.916078096,7.916078096
"Realization",79,7.915092569,7.915092569,7.915092569
"Realization",80,7.923999937,7.923999937,7.923999937
"Realization",81,7.918410289,7.918410289,7.918410289
"Realization",82,7.921245314,7.921245314,7.921245314
"Realization",83,7.908129773,7.908129773,7.908129773
"Realization",84,7.899301895,7.899301895,7.899301895
"Realization",85,7.879556401,7.879556401,7.879556401
"Realization",86,7.889683927,7.889683927,7.889683927
"Realization",87,7.906510399,7.906510399,7.906510399
"Realization",88,7.920337527,7.920337527,7.920337527
"Realization",89,7.938944891,7.938944891,7.938944891
"Realization",90,7.943392268,7.943392268,7.943392268
"Realization",91,7.947537169,7.947537169,7.947537169
"Realization",92,7.957457396,7.957457396,7.957457396
"Realization",93,7.971085754,7.971085754,7.971085754
"Realization",94,7.987082806,7.987082806,7.987082806
"Realization",95,8.006967388,8.006967388,8.006967388
"Realization",96,8.004398965,8.004398965,8.004398965
"Realization",97,8.01317766,8.01317766,8.01317766
"Realization",98,8.044273314,8.044273314,8.044273314
"Realization",99,8.052805762,8.052805762,8.052805762
"Realization",100,8.065139494,8.065139494,8.065139494
"Realization",101,8.065170924,8.065170924,8.065170924
"Realization",102,8.064290504,8.064290504,8.064290504
"Realization",103,8.073215919,8.073215919,8.073215919
"Realization",104,8.071312256,8.071312256,8.071312256
"Realization",105,8.081289494,8.081289494,8.081289494
"Realization",106,8.057377489,8.057377489,8.057377489
"Realization",107,8.058042456,8.058042456,8.058042456
"Realization",108,8.070656058,8.070656058,8.070656058
"Realization",109,8.089819841,8.089819841,8.089819841
"Realization",110,8.086471812,8.086471812,8.086471812
"Realization",111,8.090892523,8.090892523,8.090892523
"Realization",112,8.076919224,8.076919224,8.076919224
"Realization",113,8.061613042,8.061613042,8.061613042
"Realization",114,8.064605029,8.064605029,8.064605029
"Realization",115,8.056585284,8.056585284,8.056585284
"Realization",116,8.058105763,8.058105763,8.058105763
"Realization",117,8.066709797,8.066709797,8.066709797
"Realization",118,8.088960866,8.088960866,8.088960866
"Realization",119,8.103615263,8.103615263,8.103615263
"Realization",120,8.121212959,8.121212959,8.121212959
"Realization",121,8.146622142,8.146622142,8.146622142
"Realization",122,8.159946656,8.159946656,8.159946656
"Realization",123,8.166386709,8.166386709,8.166386709
"Realization",124,8.170525154,8.170525154,8.170525154
"Realization",125,8.182419511,8.182419511,8.182419511
"Realization",126,8.188466878,8.188466878,8.188466878
"Realization",127,8.198584448,8.198584448,8.198584448
"Realization",128,8.205873949,8.205873949,8.205873949
"Realization",129,8.221290758,8.221290758,8.221290758
"Realization",130,8.219218329,8.219218329,8.219218329
"Realization",131,8.221828349,8.221828349,8.221828349
"Realization",132,8.225422773,8.225422773,8.225422773
"Realization",133,8.236605891,8.236605891,8.236605891
"Realization",134,8.248790734,8.248790734,8.248790734
"reps19_hd2_sdetFALSE",119,8.09876972073197,8.09876972073197,8.09876972073197
"reps19_hd2_sdetFALSE",120,8.11367265682077,8.11367265682077,8.11367265682077
"reps19_hd2_sdetFALSE",121,8.13220523446689,8.13220523446689,8.13220523446689
"reps19_hd2_sdetFALSE",122,8.14156539462287,8.14156539462287,8.14156539462287
"reps19_hd2_sdetFALSE",123,8.17613049292396,8.17613049292396,8.17613049292396
"reps19_hd2_sdetFALSE",124,8.19125740018156,8.19125740018156,8.19125740018156
"reps19_hd2_sdetFALSE",125,8.18201348451088,8.18201348451088,8.18201348451088
"reps19_hd2_sdetFALSE",126,8.19471885282609,8.19471885282609,8.19471885282609
"reps19_hd2_sdetFALSE",127,8.19986126522522,8.19986126522522,8.19986126522522
"reps19_hd2_sdetFALSE",128,8.21631100512203,8.21631100512203,8.21631100512203
"reps19_hd2_sdetFALSE",129,8.21968841315989,8.21968841315989,8.21968841315989
"reps19_hd2_sdetFALSE",130,8.2296057878991,8.2296057878991,8.2296057878991
"reps19_hd2_sdetFALSE",131,8.23126261794512,8.23126261794512,8.23126261794512
"reps19_hd2_sdetFALSE",132,8.24411923545579,8.24411923545579,8.24411923545579
"reps19_hd2_sdetFALSE",133,8.22004372925057,8.22004372925057,8.22004372925057
"reps19_hd2_sdetFALSE",134,8.21707118901122,8.21707118901122,8.21707118901122
